ID,author,title,issued,containerTitle,volume,issue,page,link,citation
246,,,,,,,,,Ankündung syst. Werkes Schmett. Wienergegend: 139.
247,,,,,,,,,"Samml. eur. Schmett. 8: 42, pl. 24, fig. 161 [legend in error maculatella]."
248,,,,,,,,,Schmett. Eur. 9(2): 83.
249,,,,,,,,,"Tinea, Tokyo 12: 136 [key], 149, figs 37, 38, 49."
250,,,,,,,,,"(May 9), Proc. U.S. natn. Mus. 25: 845 [key], 848."
251,,,,,,,,,Dt. ent. Z. Iris 34: 106.
252,,,,,,,,,Trans. ent. Soc. Lond. 1914: 251.
253,,,,,,,,,Trans. ent. Soc. Lond. 1922: 78.
254,,,,,,,,,Trans. ent. Soc. Lond. 1922: 79.
255,,,,,,,,,Proc. U.S. natn. Mus. 47: 8.
256,,,,,,,,,Trans. ent. Soc. Lond. 1922: 77.
257,,,,,,,,,List Specimens lepid. Insects Colln Br. Mus. 29: 620.
258,,,,,,,,,Trans. ent. Soc. Lond. 1922: 76.
259,,,,,,,,,"Icon. Insect. rariorum 1: pl. 11, fig. 5."
260,,,,,,,,,Ankündung syst. Werkes Schmett. Wienergegend: 139.
261,,,,,,,,,Mantissa Insect. 2: 239.
262,,,,,,,,,Lepid. Br. (4): 548.
263,,,,,,,,,Ill. Br. Ent. (Haustellata) 4: 205.
264,,,,,,,,,"In Godart & Duponchel, Hist. nat. Lépid. Papillons Fr. 11: 272, pl. 296, fig. 5 [as fuliginella]."
265,,,,,,,,,"In Godart & Duponchel, Hist. nat. Lépid. Papillons Fr. 11: pl. 296, fig. 5 [legend]."
266,,,,,,,,,"6000 illust. Insects Japan-Empire: 1086, fig. 2225."
267,,,,,,,,,"(June), Tijdschr. Ent. 77: xxiii."
268,,,,,,,,,"(December 10), Schr. naturw. Ver. Schlesw.-Holst. 20: 363."
269,,,,,,,,,Arb. ent. Abt. Landesmus. Brünn 3: 152.
270,,,,,,,,,"Boln Serv. Plagas for. 2(3): 6, 10."
271,,,,,,,,,Trans. ent. Soc. Lond. 1914: 251.
272,,,,,,,,,Exot. Microlepid. 2: 141.
273,,,,,,,,,"Contr. nat. Hist. Lepid. N. Am. 4: 226, pl. 28, fig. 10."
274,,,,,,,,,Proc. zool. Soc. Lond. 1897: 80.
275,,,,,,,,,"Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 36, pl. 1, fig. 30."
276,,,,,,,,,Proc. Acad. nat. Sci. Philad. 1860: 163.
277,,,,,,,,,Exot. Microlepid. 2: 141.
278,,,,,,,,,"Mon. Bull. Calif. Dept. Agric. 22: 362, pl. 2, figs 20, 21."
279,,,,,,,,,Trans. ent. Soc. Lond. 1914: 252.
280,,,,,,,,,Trans. ent. Soc. Lond. 1922: 79.
281,,,,,,,,,"Abbildungen Ber. Ergänz. Schmettkde Microlepid.: 221, 230, pl. 77, figs 3a, 3b. (Lita)."
282,,,,,,,,,Lepid. eur. Cat. meth. (Edn 3): 85.
283,,,,,,,,,"Syst. Bearb. Schmett. Eur. 5: 193, pl. 76, fig. 578."
284,,,,,,,,,Stettin. ent. Ztg 20: 240.
285,,,,,,,,,Wien. ent. Mschr. 8: 187.
286,,,,,,,,,Bull. Soc. imp. Nat. Moscou 57(1): 27.
287,,,,,,,,,Exot. Microlepid. 2: 138.
288,,,,,,,,,"Isis, Leipzig 1846: 284."
289,,,,,,,,,Trans. ent. Soc. Lond. (2)1: 64.
290,,,,,,,,,Can. Ent. 4: 68.
291,,,,,,,,,Z. Ent. Breslau (N.F.) 12: 63.
292,,,,,,,,,"(November 1), Mitt. bad. zool. Ver. 18: 125."
293,,,,,,,,,"(November 1), Naturaliste 29: 250."
294,,,,,,,,,Dt. ent. Z. Iris 34: 105.
295,,,,,,,,,Proc. Calif. Acad. Sci. (4)12: 118.
296,,,,,,,,,"Tinea, Tokyo 12 (16): 137 [keys], 139, figs 8-10, 13, 17, 44."
297,,,,,,,,,"Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 28, pl. 1, fig. 24."
