ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,referenceID,publishedInPage,publishedInYear,code,status,remarks,link
3721,3721,Dichomeris aculata,"Park, 2001",species,,Dichomeris,,aculata,,2911,,,ICZN,,,
3722,3723,Dichomeris acuminatus,"(Staudinger, 1876)",species,,Dichomeris,,acuminatus,,,,,ICZN,,,
3723,3723,Mesophleps acuminatus,"Staudinger, 1876",species,,Mesophleps,,acuminatus,,2912,,,ICZN,,,
3724,3724,Hypsolophus ianthes,"Meyrick, 1887",species,,Hypsolophus,,ianthes,,2913,,,ICZN,,,
3725,3725,Ypsolophus rusticus,"Walsingham, 1892",species,,Ypsolophus,,rusticus,,2914,,,ICZN,,,
3726,3726,Ypsolophus lotellus,"Constant, 1893",species,,Ypsolophus,,lotellus,,2915,,,ICZN,,,
3727,3727,Ypsolophus ammoxanthus,"Meyrick, 1904",species,,Ypsolophus,,ammoxanthus,,2916,,,ICZN,,,
3728,3728,Ypsolophus ochrophanes,"Meyrick, 1907",species,,Ypsolophus,,ochrophanes,,2917,,,ICZN,,,
3729,3729,Dichomeris acuta,"Meyrick, 1927",species,,Dichomeris,,acuta,,2918,,,ICZN,,,
3730,3730,Dichomeris acutivalvata,"Park & Li, 2017",species,,Dichomeris,,acutivalvata,,2919,,,ICZN,,,
3731,3732,Dichomeris adactella,"(Walker, 1864)",species,,Dichomeris,,adactella,,,,,ICZN,,,
3732,3732,Gelechia adactella,"Walker, 1864",species,,Gelechia,,adactella,,2920,,,ICZN,,,
3733,3733,Dichomeris adelocentra,"Meyrick, 1920",species,,Dichomeris,,adelocentra,,2921,,,ICZN,,,
3734,3735,Dichomeris aenigmatica,"(Clarke, 1962)",species,,Dichomeris,,aenigmatica,,,,,ICZN,,,
3735,3735,Trichotaphe aenigmatica,"Clarke, 1962",species,,Trichotaphe,,aenigmatica,,2922,,,ICZN,,,
3736,3736,Dichomeris aequata,"Meyrick, 1914",species,,Dichomeris,,aequata,,2923,,,ICZN,,,
3737,3738,Dichomeris aestuosa,"(Meyrick, 1913)",species,,Dichomeris,,aestuosa,,,,,ICZN,,LT to be designated: the ♂ considered ‘type’ by Janse but not specified in Moths S Afr,
3738,3738,Homaloxestis aestuosa,"Meyrick, 1913",species,,Homaloxestis,,aestuosa,,2924,,,ICZN,,,
3739,3739,Dichomeris agathopa,"Meyrick, 1921",species,,Dichomeris,,agathopa,,2925,,,ICZN,,,
3740,3740,Dichomeris aglaia,"Hodges, 1986",species,,Dichomeris,,aglaia,,2926,,,ICZN,,,
3741,3741,Dichomeris agonia,"Hodges, 1986",species,,Dichomeris,,agonia,,2927,,,ICZN,,,
3742,3742,Trichotaphe trinotella,"Busck, 1906",species,,Trichotaphe,,trinotella,,2928,,,ICZN,,,
3743,3744,Dichomeris agorastis,"(Meyrick, 1931)",species,,Dichomeris,,agorastis,,,,,ICZN,,,
3744,3744,Sarisophora agorastis,"Meyrick, 1931",species,,Sarisophora,,agorastis,,2929,,,ICZN,,,
3745,3746,Dichomeris alacella,"(Zeller, 1839)",species,,Dichomeris,,alacella,,8878,,,ICZN,,,
3746,3746,Gelechia (Gelechia) alacella,"Zeller, 1839",species,,Gelechia,Gelechia,alacella,,8878,,,ICZN,,,
3747,3748,Dichomeris albiscripta,"(Meyrick, 1914)",species,,Dichomeris,,albiscripta,,,,,ICZN,,,
3748,3748,Hypelictis albiscripta,"Meyrick, 1914",species,,Hypelictis,,albiscripta,,2931,,,ICZN,,,
3749,3749,Dichomeris albula,"Park & Hodges, 1995",species,,Dichomeris,,albula,,2932,,,ICZN,,,
3750,3750,Dichomeris aleatrix,"Hodges, 1986",species,,Dichomeris,,aleatrix,,2933,,,ICZN,,,
3751,3751,Dichomeris allantopa,"Meyrick, 1934",species,,Dichomeris,,allantopa,,2934,,,ICZN,,,
3752,3752,Dichomeris alogista,"Meyrick, 1935",species,,Dichomeris,,alogista,,2935,,,ICZN,,,
3753,3753,Dichomeris alphito,"Hodges, 1986",species,,Dichomeris,,alphito,,2936,,,ICZN,,,
3754,3755,Dichomeris amauropis,"(Meyrick, 1923)",species,,Dichomeris,,amauropis,,,,,ICZN,,,
3755,3755,Cymotricha amauropis,"Meyrick, 1923",species,,Cymotricha,,amauropis,,2937,,,ICZN,,,
3756,3757,Dichomeris amblopis,"(Janse, 1954)",species,,Dichomeris,,amblopis,,,,,ICZN,,"Discrepancy: Type ? is from Umtali, ? from Hope Fountain according to OD",
3757,3757,Daemonarcha amblopis,"Janse, 1954",species,,Daemonarcha,,amblopis,,2938,,,ICZN,,,
3758,3759,Dichomeris amblychroa,"(Janse, 1954)",species,,Dichomeris,,amblychroa,,,,,ICZN,,,
3759,3759,Trichotaphe amblychroa,"Janse, 1954",species,,Trichotaphe,,amblychroa,,2939,,,ICZN,,,
3760,3761,Dichomeris amblystola,"(Janse, 1954)",species,,Dichomeris,,amblystola,,,,,ICZN,,,
3761,3761,Neopachnistis amblystola,"Janse, 1954",species,,Neopachnistis,,amblystola,,2940,,,ICZN,,,
3762,3763,Dichomeris amorpha,"(Meyrick, 1937)",species,,Dichomeris,,amorpha,,,,,ICZN,,,
3763,3763,Ereboscaeas amorpha,"Meyrick, 1937",species,,Ereboscaeas,,amorpha,,2941,,,ICZN,,,
3764,3765,Dichomeris amphichlora,"(Meyrick, 1923)",species,,Dichomeris,,amphichlora,,,,,ICZN,,,
3765,3765,Trichotaphe amphichlora,"Meyrick, 1923",species,,Trichotaphe,,amphichlora,,2942,,,ICZN,,,
3766,3766,Dichomeris amphicoma,"Meyrick, 1912",species,,Dichomeris,,amphicoma,,2943,,,ICZN,,,
3767,3768,Dichomeris amphicosma,"(Meyrick, 1930)",species,,Dichomeris,,amphicosma,,2944,,,ICZN,,,
3768,3768,Cymotricha amphicosma,"Meyrick, 1930",species,,Cymotricha,,amphicosma,,2945,,,ICZN,,,
3769,3769,Dichomeris ampliata,"Meyrick, 1913",species,,Dichomeris,,ampliata,,2946,,,ICZN,,,
3770,3771,Dichomeris ampycota,"(Meyrick, 1913)",species,,Dichomeris,,ampycota,,,,,ICZN,,,
3771,3771,Holaxyra ampycota,"Meyrick, 1913",species,,Holaxyra,,ampycota,,2947,,,ICZN,,,
3772,3773,Dichomeris analoxa,"(Meyrick, 1911)",species,,Dichomeris,,analoxa,,,,,ICZN,,,
3773,3773,Schematistis analoxa,"Meyrick, 1911",species,,Schematistis,,analoxa,,2948,,,ICZN,,,
3774,3774,Dichomeris ancylosticha,"Turner, 1919",species,,Dichomeris,,ancylosticha,,2949,,,ICZN,,,
3775,3775,Dichomeris angulata,"Park & Hodges, 1995",species,,Dichomeris,,angulata,,2950,,,ICZN,,,
3776,3776,Dichomeris angustiptera,"Li & Zheng, 1997",species,,Dichomeris,,angustiptera,,2951,,,ICZN,,,
3777,3777,Dichomeris anisacuminata,"Li & Zheng, 1996",species,,Dichomeris,,anisacuminata,,2952,,,ICZN,,,
3778,3778,Dichomeris anisospila,"Meyrick, 1934",species,,Dichomeris,,anisospila,,2953,,,ICZN,,,
3779,3780,Dichomeris anomala,"(Janse, 1960)",species,,Dichomeris,,anomala,,,,,ICZN,,,
3780,3780,Parabrachmia anomala,"Janse, 1960",species,,Parabrachmia,,anomala,,2954,,,ICZN,,,
3781,3782,Dichomeris anticrates,"(Meyrick, 1931)",species,,Dichomeris,,anticrates,,,,,ICZN,,,
3782,3782,Trichotaphe anticrates,"Meyrick, 1931",species,,Trichotaphe,,anticrates,,2955,,,ICZN,,,
3783,3784,Dichomeris antiloxa,"(Meyrick, 1931)",species,,Dichomeris,,antiloxa,,,,,ICZN,,"Gaede : 455, incorrectly cites Caradja as the author.",
3784,3784,Cymotricha antiloxa,"Meyrick, 1931",species,,Cymotricha,,antiloxa,,2956,,,ICZN,,,
3785,3786,Dichomeris antiphractis,"(Meyrick, 1921)",species,,Dichomeris,,antiphractis,,2957,,,ICZN,,,
3786,3786,Lecithocera antiphractis,"Meyrick, 1921",species,,Lecithocera,,antiphractis,,2958,,,ICZN,,,
3787,3787,Dichomeris antisticha,"Meyrick, 1926",species,,Dichomeris,,antisticha,,2959,,,ICZN,,,
3788,3789,Dichomeris antisticta,"(Meyrick, 1929)",species,,Dichomeris,,antisticta,,,,,ICZN,,,
3789,3789,Cymotricha antisticta,"Meyrick, 1929",species,,Cymotricha,,antisticta,,2960,,,ICZN,,,
3790,3790,Dichomeris antizella,"Viette, 1986",species,,Dichomeris,,antizella,,2961,,,ICZN,,,
3791,3791,Dichomeris antizyga,"Meyrick, 1913",species,,Dichomeris,,antizyga,,2962,,,ICZN,,,
3792,3792,Dichomeris aphanopa,"Meyrick, 1921",species,,Dichomeris,,aphanopa,,2963,,,ICZN,,,
3793,3793,Dichomeris apicispina,"Li & Zheng, 1996",species,,Dichomeris,,apicispina,,2964,,,ICZN,,,
3794,3795,Dichomeris aplectodes,"(Janse, 1960)",species,,Dichomeris,,aplectodes,,,,,ICZN,,,
3795,3795,Cymatoplex aplectodes,"Janse, 1960",species,,Cymatoplex,,aplectodes,,2965,,,ICZN,,,
3796,3797,Dichomeris apludellus,"(Lederer, 1870)",species,,Dichomeris,,apludellus,,,,,ICZN,,,
3797,3797,Hypsolophus apludellus,"Lederer, 1870",species,,Hypsolophus,,apludellus,,2966,,,ICZN,,,
3798,3799,Dichomeris aprica,"(Meyrick, 1913)",species,,Dichomeris,,aprica,,,,,ICZN,,,
3799,3799,Paraspistes aprica,"Meyrick, 1913",species,,Paraspistes,,aprica,,2967,,,ICZN,,,
3800,3800,Dichomeris arcuata,"Park & Li, 2017",species,,Dichomeris,,arcuata,,2968,,,ICZN,,,
3801,3801,Dichomeris ardelia,"Hodges, 1986",species,,Dichomeris,,ardelia,,2969,,,ICZN,,,
3802,3802,Dichomeris ardesiella,"Walsingham, 1911",species,,Dichomeris,,ardesiella,,2970,,,ICZN,,,
3803,3803,Dichomeris argentaria,"Meyrick, 1913",species,,Dichomeris,,argentaria,,2971,,,ICZN,,,
3804,3804,Dichomeris argentenigera,"Li, Zhen & Kendrick, 2010",species,,Dichomeris,,argentenigera,,2972,,,ICZN,,,
3805,3806,Dichomeris argentinella,"(Berg, 1885)",species,,Dichomeris,,argentinella,,,,,ICZN,,,
3806,3806,Ypsolophus argentinella,"Berg, 1885",species,,Ypsolophus,,argentinella,,2973,,,ICZN,,,
3807,3807,Dichomeris argigastra,"Walsingham, 1911",species,,Dichomeris,,argigastra,,2974,,,ICZN,,,
3808,3808,Trichotaphe argogastra,"Meyrick, 1925",species,,Trichotaphe,,argogastra,,2975,,,ICZN,,,
3809,3809,Dichomeris arotrosema,"Walsingham, 1911",species,,Dichomeris,,arotrosema,,2976,,,ICZN,,,
3810,3810,Dichomeris arquata,"Li, Zhen & Mey, 2013",species,,Dichomeris,,arquata,,2977,,,ICZN,,,
3811,3812,Dichomeris asaphocosma,"(Meyrick, 1934)",species,,Dichomeris,,asaphocosma,,,,,ICZN,,,
3812,3812,Eporgastis asaphocosma,"Meyrick, 1934",species,,Eporgastis,,asaphocosma,,2978,,,ICZN,,,
3813,3813,Dichomeris asodes,"Meyrick, 1939",species,,Dichomeris,,asodes,,2979,,,ICZN,,,
3814,3814,Dichomeris asteropis,"Meyrick, 1921",species,,Dichomeris,,asteropis,,2980,,,ICZN,,,
3815,3816,Dichomeris atactodes,"(Janse, 1954)",species,,Dichomeris,,atactodes,,,,,ICZN,,,
3816,3816,Daemonarcha atactodes,"Janse, 1954",species,,Daemonarcha,,atactodes,,2981,,,ICZN,,,
3817,3818,Dichomeris atomogypsa,"(Meyrick, 1932)",species,,Dichomeris,,atomogypsa,,,,,ICZN,,,
3818,3818,Gaesa atomogypsa,"Meyrick, 1932",species,,Gaesa,,atomogypsa,,2982,,,ICZN,,,
3819,3820,Dichomeris atricordis,"(Meyrick, 1934)",species,,Dichomeris,,atricordis,,,,,ICZN,,,
3820,3820,Trichotaphe atricordis,"Meyrick, 1934",species,,Trichotaphe,,atricordis,,2983,,,ICZN,,,
3821,3822,Dichomeris atriguttata,"(Meyrick, 1931)",species,,Dichomeris,,atriguttata,,,,,ICZN,,,
3822,3822,Trichotaphe atriguttata,"Meyrick, 1931",species,,Trichotaphe,,atriguttata,,2984,,,ICZN,,,
3823,3823,Dichomeris atrigutta,"Ponomarenko, 2009",species,,Dichomeris,,atrigutta,,2985,,,ICZN,,,
3824,3824,Dichomeris attenta,"Meyrick, 1921",species,,Dichomeris,,attenta,,2986,,,ICZN,,,
3825,3825,Dichomeris aulotoma,"Meyrick, 1917",species,,Dichomeris,,aulotoma,,2987,,,ICZN,,,
3826,3826,Dichomeris interamna,"Meyrick, 1926",species,,Dichomeris,,interamna,,2988,,,ICZN,,,
3827,3828,Dichomeris aurisulcata,"(Meyrick, 1922)",species,,Dichomeris,,aurisulcata,,,,,ICZN,,,
3828,3828,Trichotaphe aurisulcata,"Meyrick, 1922",species,,Trichotaphe,,aurisulcata,,2989,,,ICZN,,,
3829,3830,Dichomeris auritogata,"(Walsingham, 1911)",species,,Dichomeris,,auritogata,,,,,ICZN,,,
3830,3830,Noeza auritogata,"Walsingham, 1911",species,,Noeza,,auritogata,,2990,,,ICZN,,,
3831,3832,Dichomeris autometra,"(Meyrick, 1934)",species,,Dichomeris,,autometra,,,,,ICZN,,,
3832,3832,Cymotricha autometra,"Meyrick, 1934",species,,Cymotricha,,autometra,,2991,,,ICZN,,,
3833,3834,Dichomeris autophanta,"(Meyrick, 1921)",species,,Dichomeris,,autophanta,,,,,ICZN,,,
3834,3834,Pachnistis autophanta,"Meyrick, 1921",species,,Pachnistis,,autophanta,,2992,,,ICZN,,,
3835,3835,Dichomeris baccata,"Meyrick, 1923",species,,Dichomeris,,baccata,,2993,,,ICZN,,,
3836,3836,Dichomeris badiolineariella,"Ponomarenko & Ueda, 2004",species,,Dichomeris,,badiolineariella,,2994,,,ICZN,,,
3837,3837,Dichomeris baliolella,"Ponomarenko & Ueda, 2004",species,,Dichomeris,,baliolella,,2995,,,ICZN,,,
3838,3839,Dichomeris barathrodes,"(Meyrick, 1909)",species,,Dichomeris,,barathrodes,,,,,ICZN,,,
3839,3839,Paristhmia barathrodes,"Meyrick, 1909",species,,Paristhmia,,barathrodes,,2996,,,ICZN,,,
3840,3841,Dichomeris barbella,"([Denis & Schiffermüller], 1775)",species,,Dichomeris,,barbella,,,15,1997,ICZN,,Hübner? (Pon. 1997: 15),
3841,3841,Tinea barbella,"[Denis & Schiffermüller], 1775",species,,Tinea,,barbella,,2997,,,ICZN,,,
3842,3843,Dichomeris barnesiella,"(Busck, 1907)",species,,Dichomeris,,barnesiella,,,,,ICZN,,,
3843,3843,Trichotaphe barnesiella,"Busck, 1907",species,,Trichotaphe,,barnesiella,,2998,,,ICZN,,,
3844,3845,Dichomeris barymochla,"(Meyrick, 1935)",species,,Dichomeris,,barymochla,,,,,ICZN,,,
3845,3845,Desmophylax barymochla,"Meyrick, 1935",species,,Desmophylax,,barymochla,,2999,,,ICZN,,,
3846,3847,Dichomeris basistriatus,"(Walsingham, 1897)",species,,Dichomeris,,basistriatus,,,,,ICZN,,,
