ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
6473,6419,6473,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima dermatica,
6475,6419,6475,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima discissa,
6477,6419,6477,,,false,4970,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima disetosella,
6478,6419,6478,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima disposita,
6480,6419,6480,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima dissidens,
6482,6419,6482,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima ephippiastis,
6484,6419,6484,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima ericta,
6486,6419,6486,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima euplecta,
6488,6419,6488,,,false,4976,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima excellentella,
6490,6419,6490,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima formidolosa,
6492,6419,6492,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima haligramma,"Specimen label 'Uizggapatam, Amakapalle on mango' Check!"
6494,6419,6494,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima harpophora,
6496,6419,6496,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima improba,
6498,6419,6498,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima indica,
6500,6419,6500,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Anacampsinae,,Hypatima,,Hypatima instaurata,
